ID,Source_Title
1,ONIPA ENYE - KWADWO NKANSAH - ENGLISH SUBTITLED KUMAWOOD TWI MOVIE
2,EYE ADOM  4- KUMAWOOD GHANA TWI MOVIE - GHANAIAN MOVIES
3,GIRLS KASA - NANA AMA McBROWN - KUMAWOOD TWI MOVIE
4,MABUSUA YI - ENGLISH SUBTITLED KUMAWOOD TWI MOVIE
